Adam Yates,k
Alejandro Valverde,p
Alexander Kristoff,s
Alexey Lutsenko,k
Alexis Vuillermoz,a
Bauke Mollema,n
Caleb Ewan,s
Christophe Laporte,s
Daniel Martin,t
Daryl Impey,n
David Gaudu,"n, kb"
Dylan Groenewegen,s
Egan Bernal,k
Elia Viviani,s
Emanuel Buchmann,k
Enric Mas,k
Geraint Thomas,k
Giacomo Nizzolo,s
Giulio Ciccone,b
Gorka Izagirre,n
Greg van Avermaet,p
Jakob Fuglsang,k
Jasper Stuyven,s
Jens Debusschere,a
Julian Alaphilippe,"b, kb"
Lilian Calmejane,"kb, b"
Matteo Trentin,s
Maximilian Schachmann,k
Michael Matthews,"s, p"
Michael Woods,k
Michal Kwiatkowski,n
Mikel Landa,k
Nairo Quintana,k
Omar Fraile,a
Patrick Konrad,k
Pello Bilbao,n
Peter Sagan,s
Richie Porte,k
Rick Zabel,s
Rigoberto Uran,k
Rohan Dennis,t
Romain Bardet,"kb, k"
Simon Yates,n
Sonny Colbrelli,s
Stefan Küng,t
Steven Kruijswijk,k
Tejay Van Garderen,k
Thibaut Pinot,k
Tiesj Benoot,k
Vincenzo Nibali,k
Warren Barguil,"kb, b"
Wout Poels,n
Wout Van Aert,p
